id,城市,市区,标题,户型,面积,面积数值,方位,楼层,时间,所属小区,所属区域,房源链接,总价,总价数值,均价,均价数值,房龄
1,fuzhou,台江,近医科大 西洋宁化地铁25年次新房 头排无遮挡 首付仅30万,3 室 2 厅 2 卫,103㎡,103.00,南北,中层(共31层),2025年建造,榕发望熙雅筑B区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4605513392729091?auction=221&hpType=27&entry=102&position=0&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_0&from=from_esf_List_screen&index=0,199万,199.00,19321元/㎡,19321.00,2年内
2,fuzhou,晋安,来电可大刀  建发望樾盘精装3房 地铁口 低密宜居 精装好房,3 室 2 厅 2 卫,83㎡,83.00,南北,低层(共18层),2025年建造,国贸保利和颂锦原,晋安 五四北 坂中路,https://fz.anjuke.com/prop/view/S4248588093856779?auction=221&hpType=27&entry=102&position=1&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_1&from=from_esf_List_screen&index=1,181万,181.00,21808元/㎡,21808.00,2年内
3,fuzhou,晋安,锦鸿佳园，五里亭地铁口，电梯高层，精装拎包入住，周边配套成熟,3 室 2 厅 1 卫,90㎡,90.00,南北,高层(共33层),2024年建造,锦鸿佳园,晋安 福马路 七贤路2号,https://fz.anjuke.com/prop/view/S4537384389565453?auction=221&hpType=27&entry=102&position=2&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_2&from=from_esf_List_screen&index=2,159万,159.00,17667元/㎡,17667.00,2年内
4,fuzhou,鼓楼,湖滨小隔壁十八中临近西次湖新房地铁4号线,3 室 2 厅 1 卫,90㎡,90.00,南北,低层(共7层),2025年建造,凯佳湖岸公馆,鼓楼 东街 湖头街,https://fz.anjuke.com/prop/view/S4514662328474626?auction=221&hpType=27&entry=102&position=3&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_3&from=from_esf_List_screen&index=3,300万,300.00,33334元/㎡,33334.00,2年内
5,fuzhou,晋安,保利招商和樾风华 3室2厅2卫,3 室 2 厅 2 卫,107㎡,107.00,南北,低层(共18层),2024年建造,保利招商和樾风华,晋安 王庄 连洋西路,https://fz.anjuke.com/prop/view/S4201934614372364?auction=221&hpType=27&entry=102&position=4&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_4&from=from_esf_List_screen&index=4,330万,330.00,30842元/㎡,30842.00,2年内
6,fuzhou,晋安,五国贸保利和颂锦原 产权清晰 刚需小三居 购物方便 南北通透,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共18层),2025年建造,国贸保利和颂锦原,晋安 五四北 坂中路,https://fz.anjuke.com/prop/view/S4591191006796807?auction=221&hpType=27&entry=102&position=5&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_5&from=from_esf_List_screen&index=5,193万,193.00,21686元/㎡,21686.00,2年内
7,fuzhou,鼓楼,次新小区 文庭雅居  电梯房  南北通透 交通便利,2 室 1 厅 1 卫,62㎡,62.00,南北,低层(共16层),2024年建造,文庭雅居,鼓楼 东街 白马北路,https://fz.anjuke.com/prop/view/S4160547231570951?auction=221&hpType=27&entry=102&position=6&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_6&from=from_esf_List_screen&index=6,196万,196.00,31613元/㎡,31613.00,2年内
8,fuzhou,晋安,中海 号院B区 交通便利 商圈成熟 次新房 近地铁 小三房,3 室 2 厅 2 卫,99㎡,99.00,南,低层(共18层),2024年建造,中海叁号院B区,晋安 前横路 鱼山路3号,https://fz.anjuke.com/prop/view/S4598334305983493?auction=221&hpType=27&entry=102&position=7&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_7&from=from_esf_List_screen&index=7,299万,299.00,30203元/㎡,30203.00,2年内
9,fuzhou,台江,榕发望熙雅筑A区 出行方便 医疗配套成熟 近地铁 商圈成熟,2 室 2 厅 1 卫,75㎡,75.00,南北,低层(共34层),2024年建造,榕发望熙雅筑A区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4548445239254027?auction=221&hpType=27&entry=102&position=8&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_8&from=from_esf_List_screen&index=8,160万,160.00,21334元/㎡,21334.00,2年内
10,fuzhou,台江,宝龙旁宁 化地铁口 2023年人车分离安商社区 70平 两房,2 室 1 厅 1 卫,69㎡,69.00,南北,中层(共27层),2024年建造,春江茗郡,台江 万宝 白马南路289号,https://fz.anjuke.com/prop/view/S3812446186646533?auction=221&hpType=27&entry=102&position=9&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_9&from=from_esf_List_screen&index=9,145万,145.00,21015元/㎡,21015.00,2年内
